unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
"4777E0AF-7460-5D59-E063-4804A8C09F8E","374300","2025-03-27","LS12 5FJ","D","Y","F","","6","CASTLE MOUNT","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4777E0AF-7460-5D59-E063-4804A8C09F8E/current"
"4777E0AF-7479-5D59-E063-4804A8C09F8E","457000","2025-05-16","LS12 5FJ","D","Y","F","","31","CASTLE MOUNT","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4777E0AF-7479-5D59-E063-4804A8C09F8E/current"
"42C129E5-60AE-60A9-E063-4804A8C0C25D","215000","2025-09-26","LS12 5HE","S","N","F","","856","TONG ROAD","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/42C129E5-60AE-60A9-E063-4804A8C0C25D/current"
"3DCCB7CA-99E0-5B9D-E063-4704A8C0331E","580000","2025-07-28","LS12 5HN","D","N","F","","1B","BACK LANE","NEW FARNLEY","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/3DCCB7CA-99E0-5B9D-E063-4704A8C0331E/current"
"4777E0AF-6B5C-5D59-E063-4804A8C09F8E","199995","2025-11-21","LS12 5HW","T","N","F","","4A","BACK LANE","NEW FARNLEY","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4777E0AF-6B5C-5D59-E063-4804A8C09F8E/current"
"44F406B7-1EF1-1095-E063-4704A8C048D4","404850","2025-07-08","LS12 5HX","D","N","F","","MOORTOP FARM","BURNT SIDE ROAD","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/44F406B7-1EF1-1095-E063-4704A8C048D4/current"
"402A3A66-E6B9-A7DF-E063-4804A8C0B80D","196000","2025-03-07","LS12 5JE","S","N","F","","9","BUTTERBOWL ROAD","","LEEDS","LEEDS","WEST YORKSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/402A3A66-E6B9-A7DF-E063-4804A8C0B80D/current"
"44F406B7-1522-1095-E063-4704A8C048D4","180000","2025-10-03","LS12 5JE","S","N","F","","23","BUTTERBOWL ROAD","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/44F406B7-1522-1095-E063-4704A8C048D4/current"
"3DCCB7CA-A0DF-5B9D-E063-4704A8C0331E","80000","2025-03-21","LS12 5JP","S","N","F","","4","WHINCOVER CLOSE","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/3DCCB7CA-A0DF-5B9D-E063-4704A8C0331E/current"
"4777E0AF-6B43-5D59-E063-4804A8C09F8E","167000","2025-12-02","LS12 5JS","S","N","F","","6","WHINCOVER VIEW","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4777E0AF-6B43-5D59-E063-4804A8C09F8E/current"
"3DCCB7CA-9A2B-5B9D-E063-4704A8C0331E","170000","2025-08-01","LS12 5JW","T","N","F","","27","WHINCOVER BANK","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/3DCCB7CA-9A2B-5B9D-E063-4704A8C0331E/current"
"3B5CE842-7377-EE3A-E063-4804A8C0D6F1","130000","2025-02-21","LS12 5JX","S","N","F","","23","WHINCOVER MOUNT","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/3B5CE842-7377-EE3A-E063-4804A8C0D6F1/current"
"3DCCB7CA-DB7E-5B9D-E063-4704A8C0331E","153500","2025-08-06","LS12 5JY","S","N","F","","47","WHINCOVER ROAD","","LEEDS","LEEDS","WEST YORKSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/3DCCB7CA-DB7E-5B9D-E063-4704A8C0331E/current"
"402A3A66-9F27-A7DF-E063-4804A8C0B80D","169500","2025-05-27","LS12 5JY","S","N","F","","53","WHINCOVER ROAD","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/402A3A66-9F27-A7DF-E063-4804A8C0B80D/current"
"3DCCB7CA-9D2B-5B9D-E063-4704A8C0331E","141750","2025-08-08","LS12 5LD","T","N","F","","15","COBDEN STREET","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/3DCCB7CA-9D2B-5B9D-E063-4704A8C0331E/current"
